date,rating,title,review,version,author
2026-02-20T05:43:13-07:00,5,Bug,"Thank you for this app. I feel that I am really improving my pronunciation. DEVELOPERS, I found a bug. When I am using airpods, I can hear all sounds in aipods, but when I talk, my recorded sound is recorded from phone’s microphone and not airpod’s microphone! So in loud environment the tecording is extremely weak, but when I talk straight to phone’s microphone even when airpods are connected, then sounds is recorded clearly. I also tried to use cable headphones with USB-C adapter. In that case the sound is recorded correctly from headphone’s microphone.",3.6.0,Hunter panther
2026-02-19T21:13:49-07:00,5,Love it,Its too easy for me,3.6.0,olivazm
2026-02-19T07:20:51-07:00,1,Beware AI robots,I am very disappointed with this company. You interact with a stubborn AI robot. If you need customer service or a human to talk too good luck. I paid for a subscription and was locked out. Not being able to reactivate my app unless I pay again. It’s a mess. So in short I paid for a service I’m not receiving. Buyer beware.,3.6.0,BikemenFL
2026-02-17T04:41:54-07:00,4,One-year account and AI chat,I bought a one-year account and I want this section to be activated because I purchased the software and one-year account just for this section. I am very upset that AI chat 😭section is still inactive.,3.6.0,Nayere’s
2026-02-16T17:02:39-07:00,5,The Gramarly of English Pronunciation,Love it,3.6.0,egarciav
2026-02-16T08:56:25-07:00,5,Excelente App,👏👏👏,3.6.0,Madamelguera
2026-02-16T07:41:27-07:00,5,Very practical,This a very practical method and shows exactly how to move your tongue and lips so you can make the sounds correctly. Loved it!,3.6.0,Kandymom73
2026-02-15T22:11:02-07:00,1,Not accurate at listening to,Not sensitive to accent at all,3.6.0,Leana88
2026-02-15T11:26:11-07:00,5,Built over time,"It is useful! In the first two month, I did not see much improve, which made me a bit upset. But after four months, my pronunciation and accent improved a lot! (Speech scan score from 74 to 85 after four months practice)",3.6.0,c910xl
2026-02-15T06:10:37-07:00,5,Truly confident,I’m truly confident that BoldVoice will make me active my objective of speak English if not exactly but at least close than I Native American in the blink of an eye. (I’m really enjoying),3.6.0,X Renato y
2026-02-13T19:20:52-07:00,5,Súper,I like the program thanks,3.6.0,Necrozisscardiaca
2026-02-12T20:45:43-07:00,5,Great coaches,"The app works really well, the coaches break down the pronunciation in different ways so it’s easy to get it, and it’s kind of fun to work through it.",3.6.0,Gabrielalj
2026-02-12T10:54:30-07:00,5,Great learning app,"I love this app, really great .",3.6.0,Johnqueen
2026-02-11T15:51:03-07:00,5,Best app,"I just started and I loved it, I will be back soon to tell you more about my progress.",3.6.0,shyrlei lage
2026-02-11T05:36:55-07:00,5,Pronunciation,MG💯😘,3.6.0,MG💯😘
2026-02-10T09:51:45-07:00,5,超级无敌巨巨巨巨无敌的一个app,三生有幸能够遇到这样的app，你是我的神！！！！！！！！超级无敌巨巨巨巨巨巨巨巨巨巨巨巨巨巨好用，好用到哭泣，哭的我昏天黑地不知所云，超级好用，总之好用到要命，制作超级用心精细细致细腻的一个app！！！！！！！可惜我只能薅一个前7天免费的羊毛…>_<…，恨我不是一个有钱人(;´༎ຶД༎ຶ`)！！！！真的巨好用巨巨巨巨巨巨巨巨好用，好用到泣血，一人血书推荐！！！！！！！！我爱你制作人！！！！爱你么么哒！！！h,3.6.0,努力成为大佬
2026-02-08T10:08:01-07:00,5,Amazing app!,"This is hands down the BEST app for accent training! I’ve tried many other apps and none of the others comes even close to the quality of BoldVoice! 
BoldVoice is very effective because it combines many tools to help you improve your accent. First, it scans your pronunciation and gives you a customized lesson plan targeting your specific needs. Then, every lesson starts with an instructional video how to pronounce the sounds you are having difficulty with. This is followed by a practice session - during the exercises you get immediate feedback on your pronunciation of all sounds of the word or sentence. 
It’s very effective and I’d say a little bit addictive 😄 I can hardly wait to my next session.",3.6.0,Zoe Wlo
2026-02-07T14:39:47-07:00,5,Great app,Love it,3.6.0,Sofiamp
2026-02-07T09:57:22-07:00,4,"Great idea, but the trial period is too short","I really love the concept of this app, but the 7-day trial is too short to fully understand how everything works. After the trial ends, only a yearly subscription is offered. I’d be happy to purchase a yearly plan, but I need more time to see whether the app actually works for me before making that commitment. That’s the only reason I’m giving it four stars. A monthly subscription option is a must.",3.6.0,Bugra215
2026-02-06T14:08:49-07:00,5,Love this App!,It really really helps my pronunciation. It points out my issues and helps me improve. 5 stars!,3.5.8,Aaron J Xie
2026-02-06T06:14:56-07:00,2,To expensive,read title,3.5.8,andras.mohacsi
2026-02-05T19:29:45-07:00,5,Exceptional,I’m so so surprised how wonderful is the AI to catch your pronunciation mistakes.,3.5.8,Daniel Bust
2026-02-05T18:35:21-07:00,5,Excellent,Excellent in capturing your mistakes and gives very detailed explanation and images of the correct pronunciation. Also very pleasant.,3.5.8,Tatiana7
2026-02-05T12:43:29-07:00,5,Genial,"Me gusta mucho la aplicación,me gusta la forma en que enseña.",3.5.8,Perraso79
2026-02-05T11:39:48-07:00,5,I’m learning a lot!,I’ve been in the United States for 20 years. My English is good. But my pronunciation has been the tough part. This app teaches me a lot about pronunciation. It’s definitely worth the investment.,3.5.8,Andres Mejia Vallejo
2026-02-04T19:38:54-07:00,3,Very helpful,"Love this app! Finding out things I wouldn’t have thought of. Very challenging, downright frustrating at times but so worth it",3.5.7,Kea711
2026-02-04T19:15:50-07:00,5,Fun and effective,"I am very fluent in English, however sometimes I mispronounce some words. I find that BoldVoice is a fun and interesting way of correcting those flows and speaking more confidently. Communication is essential in sales!",3.5.7,LeslindaG
2026-02-02T21:05:53-07:00,5,I learnings,Great,3.5.7,Lewismarte
2026-02-02T19:42:46-07:00,4,Awesome,It’s great app helping me but  little expensive .,3.5.7,Samrau sean
2026-02-02T19:25:42-07:00,1,App doesn't work,"I am 1 yr subs user. but I can't use the app. The app doesn't work at all.... plz fix this 

another suggestion is 
1) Need multiple alarm setting so I can keep my streak. one time is not enough when I am busy

2) Need a streak prevention item or something like duolingo. I am also a Duo user having 800+ days streak",3.5.7,RainDrop@
2026-01-31T04:46:16-07:00,5,Amazing App,This helps improve my pronunciation,3.5.6,AjuSRP
2026-01-29T05:11:18-07:00,5,Indicated Improvement Areas,This app assessed my speech and showed me areas I need improving. This is my first day and I’m optimistic,3.5.6,Devin_Bee
2026-01-27T15:28:50-07:00,5,Very productive,"It’s really good to have an expert evaluating your pronunciation, easy to use and lessons are very helpful.",3.5.6,Nasty2891
2026-01-27T11:42:59-07:00,5,Excellent,Really helpful,3.5.6,Hamid mazidi
2026-01-27T11:13:50-07:00,3,i’m not sure.,"i saw this app on my recommended on instagram and decided to try it. i’m a native english speaker and have been my entire life, so i figured this app would pass me through easily. i feel like the app is ridiculously critical. there is no way i got every single word wrong, and it seemed to stop me on words just for taking a breath at the end of a recording or something. this can cause people to think they make mistakes when really they didn’t and they sound fine. PLEASE fix this, it isn’t fair for anyone trying to genuinely learn.",3.5.6,Luvbrooklynzn
2026-01-27T02:40:30-07:00,5,reviewing from my 2nd day!,on my 2nd day of BoldVoice! not only i’m learning a lot but also i’m having lots of fun.,3.5.6,clemen99
2026-01-26T19:38:43-07:00,5,Paul,Good,3.5.6,Paul Myint
2026-01-24T17:28:21-07:00,5,I was skeptical but now I love it,Exceeded my expectations many times,3.5.4,Rashad Hasanzade
2026-01-23T19:57:21-07:00,5,Best App Purchase Ever,"I’m Italian and I’ve lived in the U.S. for almost two decades - yet somehow kept the full-on Godfather accent (think the distant cousins who never left the old country).
The first weeks were tough. Soon I started hearing the practice sounds in everyday and catch myself fixing old habits.",3.5.4,hopedavisfan
2026-01-22T18:55:33-07:00,5,Great investment,"BoldVoice has been a great investment. The AI guidance and clear video lessons make practicing pronunciation easy and effective, and the app’s smooth performance makes learning enjoyable. Considering the quality and the progress I’ve made in improving my accent, it feels worth every penny.",3.5.4,DannyQQ
2026-01-22T06:22:28-07:00,5,Good app,Recommended,3.5.4,alex bali
2026-01-21T19:13:17-07:00,1,Garbage,"I was exercising for last 2 weeks. It is absolutely annoying. 
I literally can’t hear a difference between mine and the AI pronouncing.
I am a soft spoken person. I have no issues conversing with others. But this app is literally coming up with sounds that I don’t make and I don’t hear on the recording.
I think it makes my accent sound worse than I have. 
I see no progress so far. I think it’s a huge waste of money. 
Also commentary so repetitive. You could have used some AI to generate a better encouragement and keep the track of previous ones.",3.5.4,tkaphi
2026-01-21T13:45:32-07:00,5,Practice practice practice,Really great for self practice. Thanks,3.5.4,Stepsahead14
2026-01-21T10:09:51-07:00,1,Horrible renewal system,They keep charge you money after canceled membership!!don’t pay this this app!,3.5.4,Jinnnnnnmnmmn
2026-01-19T21:01:44-07:00,5,Very personal training,"This is very personal training, along with the time I used it, it provides more personal suggestions",3.5.3,Jackjie Qu
2026-01-19T20:42:51-07:00,5,Improved my pronunciation skills,Excellent self pace resources that helps me to achieve the goal to improve my pronunciation skills. The coaches are so good and I love that the app identifies what I say wrong so I can be self aware and practice more,3.5.3,Epicb1998
2026-01-18T20:54:37-07:00,5,Accent reduction,I’m loving it !,3.5.3,Princesswarda
2026-01-17T16:19:44-07:00,5,Amazing!,All star app!,3.5.3,dsdave90b
2026-01-17T11:54:11-07:00,5,Me encanto!,Super bien explicado y súper dinámico,3.5.3,Leslie Dayanne
2026-01-17T09:21:02-07:00,5,This app is fantastic!!!!,I’m learning a lot with my coaches!,3.5.3,Clothasub
2026-01-16T20:08:43-07:00,5,"I had my doubts, but it blew my mind","When I’d get an ad on social media, I thought it was another cheap AI slop app. But then I tried and it’s incredibly accurate in the assessment of nuances in the pronunciation. I’m considering the premium subscription.",3.5.3,Pietrociao
2026-01-15T02:09:53-07:00,5,La mejor aplicacion,"Me encanta esta aplicacion.
los ejercicios de pronunciacion son muy buenos y te explican a detalle que estas haciendo mal",3.5.1,Marla1323
2026-01-14T07:03:26-07:00,5,Spanish RRR iiiii,"This is my second day training. Love this videos short, friendly and to the point. The iiiii sound is so difficult for me. However the app helps you with visuals to rewrite the brain to pronounce it different. The brain reads faster that the sound 😂. But the visuals force you to do it right. Hard to explain. But it works!!!Thank you!!!",3.5.1,Mi Norita
2026-01-13T10:18:43-07:00,1,Scammers,"Scammers! Without any notification or agreement, they raised the price to $199 per year and quietly debited it from my account! The official website shows the price as $149.  The money is being debited by a completely separate organization! It's unclear how to get a refund. They don't respond to emails! Be careful.  Definitely don't pay for a year in advance",3.5.1,Ивана3446
2026-01-12T19:17:48-07:00,5,Para mis hermanos hispanos,"Ha sido la mejor app que he usado en todo mi aprendizaje en este idioma, entendía la gramática pero me faltaba aprender a pronunciar los sonidos y aunque tenía la confianza al momento de hablar no me entendían y tengo casi dos años de estar usando esta aplicación y mi speaking a mejorado por mucho, acepto que un no lo hablo como nativo pero ya puedo comunicarme sin tanto problema como al inicio, si estás buscando una app para mejorar tus skills en inglés esta app es la indicada, cada centavo de dólar que he pagado por ella ha sido bien invertido.",3.5.1,Bernardo Castillo
2026-01-12T01:03:55-07:00,4,Very professional,"I’m so happy that i found this English pronunciation teaching app with great teaching techniques, it’s exactly what i was hoping and looking for.",3.5.1,Mwn80
2026-01-11T11:08:04-07:00,5,Great Tool,I have been using this app for several months now and people around me are definitely noticing the improvement.,3.5.1,Nancy Godinez
2026-01-11T08:49:56-07:00,1,Racist app that keeps colonial mentality alive. There is no such a thing as American accent.,"There is no single “American accent” — the U.S. has many accents. Teaching one as the standard reinforces a colonial and racist mindset, especially when people are bullied in Western countries based on how they look or sound. Ironically, accents are policed, but so are appearances — even Americans with accents have been harassed recently. Respectfully, passing often depends more on how you look than how you speak. Apps like this risk reinforcing that harmful hierarchy.",3.5.1,My app for rent
2026-01-11T07:43:22-07:00,5,Great app,Incredibly useful,3.5.1,Dario NYC
2026-01-09T18:39:48-07:00,1,"⭐️ 1 star – Extremely misleading, charged $150 after cancellation","This app is deceptive.

I signed up for the free trial, canceled it on time, and still got charged $150. Before the charge, I double-checked my Apple ID subscriptions and BoldVoice was NOT listed as an active subscription. I have screenshots proving this, yet the charge went through anyway.

This is not a mistake — this is a serious transparency issue. A free trial that turns into a hidden charge is unacceptable. If a subscription doesn’t even appear in Apple’s system, users have no way to protect themselves.

Now I’m forced to fight for a refund for a charge I never authorized. This feels predatory and incredibly unprofessional.

Do not trust this app. Use at your own risk.",3.5.1,Elena Farris
2026-01-08T07:26:16-07:00,5,Me encanta,"De verdad se interesa por mi pronunciación, y no avanza hasta que la mejoro yo mismo",3.5.0,José21M
2026-01-08T04:07:32-07:00,5,Excellent Methodology,"A clear, organized, and efficient system for developing North American pronunciation skills",3.5.0,server5393
2026-01-07T18:55:58-07:00,5,Good job!,"The teacher's articulation is so clear.  It really helps. However, sometimes some of my pronunciation is not picked up by the recorder, such as the dark L.  It’s frustrating.",3.5.0,琴书侣
2026-01-05T19:34:02-07:00,5,Need new materials to learn Pronunciation effectively,"I have learned how to pronounce English words with BaldVoice for a year.  I’ve made significant progress.  However, I have noticed most lessons have been repeats.  I’d like new materials for me to make further progress.",3.5.0,Sae I
2026-01-05T19:06:39-07:00,5,A nice app,I love it,3.5.0,Arcadiachan96
2026-01-03T17:05:19-07:00,5,Very goood for speaking,Amazing,3.5.0,Acarolamelv
2026-01-03T15:18:23-07:00,5,Surprisingly good,"More than I expected, I am on the free trial, but I might keep it.
It.",3.5.0,Darideivi
2026-01-03T11:52:54-07:00,5,Excellent Pronunciation App,"Loving it! It’s fun, almost like a game but to learn!",3.5.0,prikaleme
2026-01-01T10:22:42-07:00,5,Best app in this topic,I’ve been using this app for a week and l have to say that I really like it.,3.5.0,Best bible ever.
2025-12-30T11:43:08-07:00,2,Is it good?,"It doesn’t really help I speak at a 
Professional English and 
Each time that air rates me it gives me 50%",3.5.0,I love this keybord🙂
2025-12-29T22:51:50-07:00,1,AI Slop,"The promise of lessons with a qualified instructor is a lie. Your only interactions in the app are with a rather crude AI.  There are no instructions on HOW to pronounce difficult sounds. There is nothing on speech rhythm, or any practice on full sentences . You are just repeating words after AI like a deranged parrot. 
Another red flag is their predatory billing practices - the app promises to send you a notice when your free trial period is ending, but the only notice I got was AFTER they bilked me fir a full year. There is no contact info or customer service, do I had to file a dispute with my credit card.",3.5.0,Badlon
2025-12-28T21:32:19-07:00,5,"Very, very helpful",BoldVoice is one of the few apps that I’m willing to pay for. It helped identify the area for improvement (I’ve moved to the US for many years!) and provided detailed instructions on how to make it right.,3.5.0,beb meng-o
2025-12-28T12:08:46-07:00,5,Lexer,Best app,3.5.0,Jaskoson
2025-12-28T06:10:59-07:00,5,Fantastic,Awesome! Awesome App!!!,3.5.0,mirzoanvar
2025-12-27T11:21:17-07:00,1,Unable to Register,"If a native language is not listed , one cannot register. Provide an option “Others” or “Not listed” to complete registration .",3.5.0,bleix73
2025-12-26T17:57:29-07:00,5,Accent skills,This is a great way to learn how to pronounce each word right and without an accent,3.5.0,ogoggaga
2025-12-26T04:24:15-07:00,5,Best for Fine Tuning Pronunciation,"I have been using BoldVoice for 10 months now. I also subscribe to ELSA Speak and have tried other apps on trial basis. I use and like BoldVoice the most because it is the most sensitive in detecting mispronunciations. It also provides the most relevant and helpful solution to correct the mispronunciation. However, BoldVoice’s AI can be quite frustrating at times, especially after you’ve mispronounced a word. It has a tendency to keep saying that you are mispronouncing the same word even though you have made the correction.  BoldVoice allows you unlimited use so you can train more when you’re free. ELSA Speak allows limited training per day so you have to come back the next day once you have completed your daily training. ELSA Speak’s coach sounds robotic so it feels less natural but it’s AI conversation and feedback is very good. All these apps have their pros and cons so do your research and try different apps to find the right ones for you. They usually offer a free trial period. I am 55 years old. I am not trying to completely remove my Malaysian accent. I just want to sound clearer to Americans and BoldVoice fits the bill nicely.",3.5.0,iSpeakMyMind4Realz
2025-12-25T11:16:22-07:00,5,not just for pronunciation,"very helpful to improve pronunciation. It enables you to better understand native speakers, which means you can follow the conversation more easily. Also correct pronunciation make it easy to memorise new words what significantly expand your vocabulary",3.5.0,Bioric
2025-12-24T11:18:47-07:00,1,Withdraw money without my consent,Withdraw money without my consent,3.5.0,pphgsshi
2025-12-24T07:39:10-07:00,5,I can see how much it is helping me,I did not know how much I was mispronouncing my words until I started using this app. I am glad I found it.,3.5.0,princessblue64
2025-12-24T02:05:42-07:00,5,Awesome!!!,Great concept of studying in your language,3.5.0,magnopi
2025-12-22T11:13:41-07:00,1,Fake,"For the test, I had a native speaker speak to see whether the app actually evaluates accurately. It’s funny that the result was that the person still doesn’t sound like a native speaker — haha.",3.5.0,Italy1995
2025-12-22T10:19:52-07:00,5,helpful for pronunciation practice,I just started using but so far love the explainers for different sounds I didn’t even know are different,3.5.0,ChrisParj
2025-12-21T20:12:01-07:00,5,Thank you,The best app,3.5.0,Wulleta
2025-12-20T16:12:44-07:00,5,Confident on practice,Today is my first day at practicing with BoldVoice. I hope my accent will be nice if I continue practicing here.,3.5.0,The RumelBD
2025-12-18T15:03:11-07:00,1,avoid this app,it is a scam i was charged $149.99,3.5.0,Jennifer Nguyin
2025-12-18T07:40:58-07:00,5,Accent,Nice app,3.5.0,Oladio120
2025-12-18T05:04:29-07:00,5,Cool stuff,I really like this app.,3.4.9,Wetpaint3
2025-12-17T04:40:00-07:00,5,Chinese speaker - helping with the ending “L” and “th” sound,"Been using it for a year, and I’m getting better at the ending L sound and th sound where i pronounce like ou and d",3.4.9,Laorui
2025-12-17T01:43:12-07:00,5,Best education app,thanks for this opportunity,3.4.9,ссоаоан
2025-12-16T14:20:46-07:00,5,King,Great job,3.4.9,bigsister19
2025-12-15T20:15:20-07:00,1,BeCareful about auto renewal,"I didn’t set auto renewal but default is auto renewal and withdraw $199 annual membership without any notice. I request refund but never responded to me. In help site, it says they will response within 1 day, but reality is not. Really hard to reach out and email them",3.4.9,Jai CA
2025-12-14T18:46:20-07:00,5,Absolutely amazing,I love how the coach gives you the greens and reds,3.4.9,claugrazi2727
2025-12-13T20:53:11-07:00,5,Great improve my accent,Many helpful tips & explanations. Great app to improve my accent. Nice to know which section is wrong. Good to know comparisons in similar but different pronunciation.,3.4.9,avocado2019
2025-12-13T18:54:58-07:00,5,Great coahes,Great explanation,3.4.9,tarasko2025
2025-12-11T20:58:27-07:00,5,Love it,It is really working for me! I’m correcting a lot of pronunciation errors,3.4.9,Jennychani
2025-12-11T17:48:08-07:00,5,A rare occasion of a great implementation of a great idea!,Love the study plan and fantastic tutors!,3.4.9,Alex Roman 3000
2025-12-09T10:40:06-07:00,5,Amazing application,I have improved my pronunciation very much thanks to Bold voice. It’s really worth it!,3.4.9,blazehdz
2025-12-08T20:27:31-07:00,5,"After years of ""good"", finally going to ""great""","For some reason I thought I had  ""mastered"" English and accent wasn't something I could fix. I came in suspicious after getting targeted by the ads, but I've been blown away. I've been shown the blind spots in my English and practical ways to improve it. It's exciting to be in learning mode again for this language I use professionally every day.",3.4.9,JL-review
2025-12-08T15:31:22-07:00,5,Haciendo prueba gratuita,"Muy bueno, me gusta el detalle que presenta y me está ayudando a pronunciar mejor.",3.4.9,Tcgsu
2025-12-08T11:16:36-07:00,1,Potential Scam and Fraudulent Billing Practices,"Warning: Potential Scam and Fraudulent Billing Practices

I would give zero rating since no option to give zero, giving one. 
I signed up for a 7-day trial and attempted to unsubscribe well within the trial period. The system repeatedly blocked cancellation and instead pushed a 50% “offer,” after which I was charged $99 without authorization. Shortly after, I was also charged $149 plus an additional $99, totaling charges for two accounts I never approved.

When I contacted customer service, I was told nothing could be done, despite clear evidence that the charges occurred during my attempt to cancel. My emails received automated responses with no resolution.

These practices appear deceitful, misleading, and potentially fraudulent. Consumers deserve transparency, fair billing, and the ability to cancel trials without being charged multiple unauthorized fees.

I urge Apple, Google Play, and the Federal Trade Commission (FTC) to review and investigate BoldVoice’s billing practices.
Please be cautious  in my experience, this service did not honor its trial, cancellation, or customer service commitments.",3.4.9,Austingiltus
2025-12-07T12:30:51-07:00,5,Amazing app!!!,Nice and friendly,3.4.9,Spectator 12
2025-12-06T18:51:57-07:00,3,There is only one subscription plan,"The app is amazing, and I believe it can really improve your skills. I was going to purchase a monthly subscription; however, Bold Voice doesn’t seem to have one. I was under the impression that according to the AppStore terms and conditions apps must offer various plans. Signing up for a yearly plan with ~$150 cost doesn’t seem to work for me. Had to delete the app, this is a bit frustrating.",3.4.9,Raleksa
2025-12-06T18:09:20-07:00,2,Not recommended,It’s not accurate,3.4.9,Anas Sankar
2025-12-06T12:12:55-07:00,1,Cancelled my subscription but still got auto renewal,I cancelled my subscription more than half a year ago and it will expire tmr(12/7) and today(12/6) it was auto renewed without any in advance notice. That is ridiculous.,3.4.9,bill8608
2025-12-05T18:04:30-07:00,5,very good,started making progress the first day,3.4.9,ameliashoww
2025-12-04T09:14:17-07:00,1,Intentionally confusing so that they can double charge,Their free trial is only offered through the App Store so their subscription appears on your Apple account. But the annual subscription discount is offered only through their app so you have to double subscribe. Got charged for renewal because I only cancelled through my Apple account. Don't forget to cancel both subscriptions. This is the first service I have faced this kind of grifting with.,3.4.8,Dobby0812
2025-12-03T10:56:59-07:00,5,Excellent tool,Nice program. Good practice,3.4.8,Laura R Hein
2025-12-02T22:23:08-07:00,1,App is not working,"I wanted to do trial so i added my card number, but it did not work at all. I did not have a chance to use it. I want to sign out and delete my account and also please erase my card number to be sure to not pay for this after 7days!!",3.4.8,?뭐야
2025-12-02T18:53:01-07:00,5,The best,Vale la pena pagar su valor. He aprendido mucho y mejorado mi pronunciación. He buscado muchas apps y me quedo con esta.,3.4.8,JennVallej
2025-12-02T17:53:05-07:00,4,Es buena la app,Se nesesita pagar $ pero si te corrigen bien la pronunciación,3.4.8,mamaryy
2025-12-02T13:05:52-07:00,5,Helpful app,Amazing app that is helping me to learn how to read and sing better!,3.4.8,ledjfjgisjwrb
2025-12-02T04:30:04-07:00,5,Great app for training even discerning speakers,"Through practical demo videos and repetition, I now understand why American English sounds the way it does. I’m more aware of how I sound myself. The speech recognition and analysis feature is excellent, I’m glad to have this app. I use it almost everyday.",3.4.8,BernieTai
2025-11-28T16:28:50-07:00,5,Amazing,That’s the best app I ever used. I’m loving it!,3.4.8,Sra. Moraes
2025-11-25T22:45:18-07:00,1,No lo necesito,Me di de baja nunca lo usé y me siguen cobrando el plan deseo quitarlo y no puedo,3.4.8,Arasamsamguliguli
2025-11-25T21:19:21-07:00,5,Good job,Professional,3.4.8,Epikoria
